id,points
TSPL02251846,-52
TSPL0125558,-52
TSPL02251763,-52
TSPL0125320,-53
TSPL0225783,-55
TSPL02251325,-57
TSPL02251842,-71
TSPL02251386,43
TSPL0125278,34
TSPL012532,31
TSPL0125622,24
TSPL02251893,21
TSPL012585,20
TSPL02251250,18
TSPL0225869,18
TSPL0125299,10
TSPL012552,8
TSPL02251256,7
TSPL02251087,6
TSPL02251858,4
TSPL0125647,2
TSPL012514,2
TSPL0225857,0
TSPL0125414,0
TSPL0125697,-1
TSPL0125517,-2
TSPL02251230,-2
TSPL02251369,-2
TSPL0225839,-3
TSPL012575,-4
TSPL02251959,-10
TSPL02251797,-14
TSPL02251746,-15
TSPL02251699,-15
TSPL02251663,-16
TSPL02251854,-18
TSPL02251776,-21
TSPL0225785,-22
TSPL02251881,-25
TSPL02251890,-25
TSPL02251290,-34
TSPL02251142,-37
TSPL0125224,-39
TSPL02251009,-48
TSPL0125450,-53
TSPL02251903,41
TSPL02251323,37
TSPL0225851,34
TSPL0225770,23
TSPL0125268,20
TSPL0225871,19
TSPL02251255,17
TSPL0125429,16
TSPL02251010,15
TSPL012577,13
TSPL02251742,13
TSPL012539,11
TSPL02251516,7
TSPL0125155,6
TSPL02251793,5
TSPL02251196,4
TSPL012538,3
TSPL0125127,0
TSPL0125384,-2
TSPL02251330,-3
TSPL0125263,-5
TSPL02251206,-10
TSPL0125241,-10
TSPL0225922,-12
TSPL0125372,-12
TSPL02251596,-17
TSPL0225765,-26
TSPL02251306,-31
TSPL02251624,-32
TSPL02251551,-37
TSPL02251532,53
TSPL012548,41
TSPL02251740,37
TSPL02251141,36
TSPL02251838,27
TSPL02251505,23
TSPL0125169,21
TSPL0125207,16
TSPL02251698,13
TSPL02251850,11
TSPL02251951,11
TSPL02251646,10
TSPL0125177,10
TSPL02251132,9
TSPL02251800,9
TSPL0125639,7
TSPL02251839,7
TSPL02251343,5
TSPL0125389,2
TSPL02251312,-4
TSPL02251954,-6
TSPL02251729,-7
TSPL02251691,-8
TSPL0125379,-8
TSPL02251502,-10
TSPL0125401,-12
TSPL02251597,-13
TSPL02251715,-13
TSPL02251809,-15
TSPL02251795,-16
TSPL02251477,-18
TSPL02251867,-20
TSPL02251367,-21
TSPL02251183,-24
TSPL02251708,-25
TSPL0125205,-28
TSPL02251519,-28
TSPL02251555,-29
TSPL0125123,-35
TSPL02251226,-36
TSPL0125172,58
TSPL0125516,41
TSPL0125709,35
TSPL0225774,32
TSPL0125113,32
TSPL02251315,30
TSPL0125125,28
TSPL0125322,21
TSPL02251739,20
TSPL0125692,16
TSPL0225762,14
TSPL02251462,12
TSPL02251281,12
TSPL02251262,11
TSPL02251474,11
TSPL02251922,10
TSPL02251848,8
TSPL0125405,8
TSPL0125298,7
TSPL012571,6
TSPL02251374,5
TSPL02251610,5
TSPL012550,3
TSPL0125143,2
TSPL02251102,1
TSPL02251079,1
TSPL0125593,-2
TSPL0125494,-3
TSPL012516,-4
TSPL02251771,-5
TSPL02251552,-6
TSPL02251940,-7
TSPL02251204,-8
TSPL02251435,-9
TSPL0125142,-10
TSPL02251494,-10
TSPL02251051,-16
TSPL0225772,-17
TSPL0225929,-20
TSPL02251949,-20
TSPL01252,-22
TSPL02251016,-24
TSPL02251774,-26
TSPL02251483,-26
TSPL0125496,-26
TSPL012579,-29
TSPL0125722,-32
TSPL0225999,-40
TSPL02251504,-40
TSPL02251584,-42
TSPL0125146,45
TSPL02251056,40
TSPL02251802,19
TSPL02251593,10
TSPL02251482,7
TSPL02251816,6
TSPL0125642,4
TSPL0225867,-4
TSPL02251586,-5
TSPL02251693,-6
TSPL02251588,-8
TSPL02251131,-8
